movieCd,movieNm,audiAcc
20183867,알라딘,9222634
20184047,토이 스토리 4,2783701
20183782,기생충,9774306
20198453,롱 리브 더 킹: 목포 영웅,1076588
20196657,맨 인 블랙: 인터내셔널,843649
20196655,존 윅 3: 파라벨룸,853607
20190273,천로역정: 천국을 찾아서,228365
20190885,사탄의 인형,46546
20182387,엑스맨: 다크 피닉스,860921
20190466,세상을 바꾼 변호인,31379
20199951,애나벨 집으로,398494
20182585,비스트,199009
20192022,마담 싸이코,37437
20196309,스파이더맨: 파 프롬 홈,4521624
20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000
